source_page,section,subsection,row_type,manager_fund_manager_strategy_label_raw,manager_fund_manager_strategy_label,manager_name_guess,product_name,flags,is_nav_stitched,is_fee_deducted,is_subscription_paused,fifty_underlying_start_date,return_1w_pct,return_mtd_pct,return_ytd_pct,return_2025_pct,return_2024_pct,return_2023_pct,return_2022_pct,return_2021_pct,return_2020_pct,return_2019_pct,sharpe_1y,max_drawdown_1y_pct,max_drawdown_hist_pct,extraction_quality_notes
6,量化选股,中证500指增,product,成长 量派,量派,量派,量派金选中证500指数增强14号B[1],[1],True,False,False,2021-12-03,8.03,4.63,25.81,40.00,22.08,4.18,-12.79,32.94,-,-,2.67,-11.25,-26.15,
6,量化选股,中证500指增,product,成长 顽岩,顽岩,顽岩,顽岩金选中证500指数增强1号B类[1],[1],True,False,False,2022-12-30,8.92,5.12,24.64,57.27,8.80,7.60,3.33,-,-,-,2.57,-11.82,-26.72,
6,量化选股,中证500指增,product,九坤,九坤,九坤,九坤金选中证500指数增强1号C[1],[1],True,False,False,2021-11-11,7.17,5.11,23.75,48.97,9.03,10.08,-12.05,33.76,59.89,40.99,2.68,-10.12,-31.33,
6,量化选股,中证500指增,product,成长 乾象,乾象,乾象,乾象金选指数增强5号B[1],[1],True,False,False,2022-10-14,5.34,4.58,22.59,42.40,20.98,8.99,0.09,-,-,-,2.93,-8.00,-18.79,
6,量化选股,中证500指增,product,世纪前沿,世纪前沿,世纪前沿,世纪前沿金选专享指数增强1号B[1],[1],True,False,False,2020-10-09,5.91,4.11,22.39,55.52,17.83,6.32,-9.99,45.02,45.44,-,2.84,-9.83,-28.08,
6,量化选股,中证500指增,product,成长 因诺,因诺,因诺,因诺金选中证500指数增强1号B[1],[1],True,False,False,2020-10-09,6.99,6.10,21.37,43.73,8.05,9.69,-8.86,29.24,63.89,-,2.40,-10.68,-31.13,
6,量化选股,中证500指增,product,成长 正定,正定,正定,正定金选中证500指数增强1号B[1],[1],True,False,False,2025-03-21,8.38,5.76,20.60,50.79,57.84,-,-,-,-,-,2.49,-10.81,-18.43,
6,量化选股,中证500指增,product,宽德,宽德,宽德,宽德金选中证500指数增强6号[3],[3],False,False,True,2019-12-27,7.74,6.39,14.06,51.46,28.13,15.80,-2.22,39.97,46.48,-,2.31,-10.36,-21.70,
6,量化选股,中证1000指增,product,成长 平方和,平方和,平方和,平方和鼎盛金选中证1000指数增强153号B[1],[1],True,False,False,2026-05-22,8.99,6.45,30.68,67.08,30.92,13.18,-,-,-,-,2.95,-9.89,-24.72,product_line_not_found_for_manager_backfill
6,量化选股,中证1000指增,product,成长 佳期,佳期,佳期,佳期金选千星指数增强1号B[1][3],[1];[3],True,False,True,2021-09-24,8.92,6.86,28.37,63.61,5.88,9.42,1.85,61.82,-,-,2.90,-10.54,-29.15,
6,量化选股,中证1000指增,product,成长 知行通达,知行通达,知行通达,三亚知行通达汇智1号,,False,False,False,2022-01-21,7.30,6.51,27.20,43.91,24.35,0.54,-,-,-,-,2.84,-10.37,-27.22,
6,量化选股,中证1000指增,product,诚奇,诚奇,诚奇,诚奇金选中证1000指数增强1号B[1],[1],True,False,False,2026-05-08,7.24,6.80,26.51,56.91,16.58,-,-,-,-,-,2.93,-9.66,-24.85,
6,量化选股,中证1000指增,product,成长 顽岩,顽岩,顽岩,顽岩金选中证1000指数增强1号B,,False,False,False,2024-04-30,9.72,6.28,26.20,72.49,-,-,-,-,-,-,2.56,-12.24,-14.34,
6,量化选股,中证1000指增,product,衍复(可追加申购),衍复(可追加申购),衍复(可追加申购),衍复金选中证1000指数增强一号B[1],[1],True,False,False,2021-01-22,7.75,5.37,26.18,55.94,17.75,12.58,-4.73,50.12,-,-,2.84,-9.86,-22.41,
7,量化选股,中证1000指增,product,九坤,九坤,九坤,九坤千乘中证1000指数增强专享1号[1][3],[1];[3],True,False,True,2025-01-06,7.46,5.17,26.13,62.00,8.17,17.04,10.96,68.80,59.98,50.47,2.81,-10.08,-30.14,product_line_not_found_for_manager_backfill
7,量化选股,中证1000指增,product,世纪前沿,世纪前沿,世纪前沿,世纪前沿金选中证1000指数增强1号B[1],[1],True,False,False,2023-08-04,7.17,5.13,23.97,66.31,17.71,9.51,-,-,-,-,2.78,-10.07,-25.48,product_line_not_found_for_manager_backfill
7,量化选股,中证1000指增,product,成长 量派,量派,量派,量派金选中证1000指数增强26号B类[1],[1],True,False,False,2024-07-05,7.63,4.12,23.59,47.64,25.71,7.57,-16.37,-,-,-,2.52,-11.32,-29.41,
7,量化选股,中证1000指增,product,成长 正定,正定,正定,正定金选中证1000指数增强1号B[1],[1],True,False,False,2025-05-23,8.31,5.78,22.81,51.00,36.12,-,-,-,-,-,2.52,-8.67,-23.60,
7,量化选股,中证1000指增,product,成长 倍漾量化,倍漾量化,倍漾量化,倍漾金选中证1000指数增强1号B[1],[1],True,False,False,2024-05-17,6.59,3.73,20.28,61.38,12.16,-,-,-,-,-,2.64,-11.12,-26.29,
